Type;Description;Is GHG Target?;Year;Base Year Period;Is Single Year Target?;Source;Geography;Geography ISO;Sector;Scopes;Events
fixed_level_target;target for deploying 4500 � 5000 MW of REN capacity by 2032, which is equivalent of 95% of the total energy mix of 5000 �6000 MW;No;2032;;No;law;Afghanistan;AFG;Energy;Renewable Energy;
fixed_level_target;Deploy 10 MW of Wind Power in by 2011, then 50 MW in 5-10 years by 2016;No;2016;Business as usual scenario;No;law;Afghanistan;AFG;Energy;Renewable Energy;
fixed_level_target;Rehabilitate 94 MW of hydropower capacity by 2008 against a 2006 baseline;No;2008;2006;No;law;Afghanistan;AFG;Energy;Renewable Energy;
baseline_scenario_target;13.6% reduction in GHG emissions by 2030 compared to a business as usual (BAU) scenario, conditional on external support;No;2030;business as usual scenario;No;ndc;Afghanistan;AFG;Economy-wide;Economy Wide;
fixed_level_target;Achieve 38% of renewable energy by 2020;No;2020;;No;law;Albania;ALB;Energy;Renewable Energy;
fixed_level_target;At least 10% total energy from renewable and biofuels;No;2015;2015;No;law;Albania;ALB;Energy;Renewable Energy;
fixed_level_target;25% total energy consumption from renewables, of which 10MW is PV, 14MW is biomass, 10MW is Geothermal, 240 MW is HC (hydro) by 2020;No;2020;2020;No;law;Albania;ALB;Energy;Renewable Energy;
base_year_target;9% reduction in total energy consumption by 2015 compared with 2006 baseline;No;2015;2006;No;law;Albania;ALB;Energy;Energy Efficiency;
base_year_target;9% reduction in energy use by 2018 against a 2010 baseline;No;2018;2010;No;law;Albania;ALB;Energy;Energy Efficiency;
baseline_scenario_target;Reduce CO2 emissions compared to the baseline scenario in the period of 2016 and 2030 by 11.5%, which means 708 kT carbon-dioxide emission reduction in 2030.;No;2030;N/A;No;ndc;Albania;ALB;Economy-wide;Economy Wide;
trajectory_target;LNG (liquified natural gas) to reach 20% share of car fleet by 2020;No;2020;2011;No;law;Algeria;DZA;Transportation;Biofuels;
fixed_level_target;New PV projects of overall power at 800 MW by 2020, and 200 MW per annum over 2021-2030;No;2030;2011;No;law;Algeria;DZA;Energy;Renewable Energy;
trajectory_target;Uptake of share of national industrial capacity in the wind power sector (50% at 2020, 80% at 2030) by 2020, 2030 against a 2011 baseline;No;2030;2011;No;law;Algeria;DZA;Industry;Renewable Energy;
trajectory_target;Uptake of share of national industrial capacity in the heat solar sector (50% at 2020, 80% at 2030) by 2020, 2030 against a 2011 baseline;No;2030;2011;No;law;Algeria;DZA;Industry;Renewable Energy;
trajectory_target;Uptake of share of national industrial capacity in the PV solar sector (targets set for 60% at 2013, 80% at 2020, over 80% at 2030) by 2013, 2020, 2030 against a 2011 baseline;No;2030;2011;No;law;Algeria;DZA;Industry;Renewable Energy;
fixed_level_target;Wind farms to be installed: 10 MW in 2013, 2x20 MW in 2015, total of 1700 MW in 2030;No;2030;2011;No;law;Algeria;DZA;Energy;Renewable Energy;
fixed_level_target;Objectives of installed renewable energy power in 2013 (110 MW), 2015 (650 MW), 2020 (2 600 MW and potential for exportations fo 2 000 MW), 2030 (120 000 MW and 10 000 MW for exports);No;2030;2011;No;law;Algeria;DZA;Energy;Renewable Energy;
trajectory_target;Wind to reach 3% of national power supply by 2030;No;2030;2011;No;law;Algeria;DZA;Energy;Renewable Energy;
trajectory_target;Solar to reach 37% of national power supply by 2030;No;2030;2011;No;law;Algeria;DZA;Energy;Renewable Energy;
fixed_level_target;Uptake of renewable energies and sets a target of installing of 22,000 MW of renewable power capacity between 2011 and 2030, divided between 12, 000 MW to be dedicated to cover the national demand for electricity and 10,000 MW for export by 2030;No;2030;2011;No;law;Algeria;DZA;Energy;Renewable Energy;
fixed_level_target;Achieving 35,000 hectares of forests and developing another 175,000 hectares by 2030 against a 2013 baseline;No;2030;2013;No;law;Algeria;DZA;LULUCF;Afforestation;
fixed_level_target;To install 22,000MW of power generating capacity from renewable sources between 2011 and 2030 (of which 12,000MW for internal usage and 10,000MW for export), meeting 20% of electricity generation from renewables by 2030;No;2030;2011;No;law;Algeria;DZA;Energy;Renewable Energy;
base_year_target;Reduction of GHG emissions of 7 to 22% by 2030 against a 2013 baseline;No;2030;2013;No;law;Algeria;DZA;Economy-wide;Economy Wide;
baseline_scenario_target;7% (with domestic means) to 22% (conditional) reduction in GHG emissions by 2030 compared to the BAU levels;No;2030;business as usual scenario;No;ndc;Algeria;DZA;Economy-wide;Economy Wide;
;Full coverage of wastes dumps by 2030;No;2030;;No;ndc;Algeria;DZA;Waste;Waste: General;
;1% reduction by 2030;No;2030;;No;ndc;Algeria;DZA;Energy;Gas Flaring;
;27% of electricity generated from renewable sources by 2030;No;2030;;No;ndc;Algeria;DZA;Energy;Renewable Energy;
fixed_level_target;Renewable energies account for 20% of energy sources by 2020;No;2020;2010;No;law;Andorra;AND;Energy;Renewable Energy;
