Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Afghanistan,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Afghanistan,Overview,UNFCCC Process,,,submission_date,11/23/2016,CAIT,Latest submission date
Afghanistan,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Afghanistan,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Afghanistan,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Afghanistan,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Afghanistan,Overview,UNFCCC Process,,,pa_ratified_date,15-Feb-17,CAIT,Date of ratification
Afghanistan,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Albania,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Albania,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Albania,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Albania,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Albania,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Albania,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Albania,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Albania,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Algeria,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Algeria,Overview,UNFCCC Process,,,submission_date,10/20/2016,CAIT,Latest submission date
Algeria,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Algeria,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Algeria,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Algeria,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Algeria,Overview,UNFCCC Process,,,pa_ratified_date,20-Oct-16,CAIT,Date of ratification
Algeria,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Andorra,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Andorra,Overview,UNFCCC Process,,,submission_date,3/24/2017,CAIT,Latest submission date
Andorra,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
